Codigo,Nome da Estação,UF,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Ano
83887,Campos Novos,SC,154.0,196.8,134.3,106.9,144.8,166.3,177.2,168.5,154.0,133.5,130.4,159.8,1826.5
83883,Chapecó,SC,142.4,173.4,103.4,106.4,136.8,117.5,142.4,128.2,130.3,163.8,158.2,151.1,1653.9
83897,Florianópolis,SC,162.7,196.9,173.0,92.8,96.9,89.5,99.5,95.3,134.2,109.8,130.2,137.0,1517.8
83872,Indaial,SC,179.7,179.8,154.5,95.6,108.7,94.8,104.5,93.5,127.9,129.6,119.3,166.5,1554.4
83865,Irineópolis ,SC,171.0,152.5,155.2,93.0,109.2,128.0,144.9,123.5,149.3,170.4,136.5,156.1,1689.4
83891,Lages,SC,160.9,143.5,136.4,83.6,78.3,101.3,126.9,133.1,141.5,136.1,116.4,125.7,1483.7
83924,Laguna,SC,99.9,114.6,151.0,87.0,94.5,90.1,112.0,143.5,145.6,97.9,113.3,90.1,1339.4
83922,Orleans,SC,181.3,179.6,149.1,77.8,78.7,71.2,97.4,124.5,157.5,113.1,114.2,131.6,1476.0
83864,Porto União,SC,152.9,140.4,150.2,89.0,125.5,133.4,151.1,130.6,163.5,157.9,143.5,182.7,1720.6
83920,São Joaquim,SC,172.2,162.5,147.2,82.2,93.2,111.2,113.7,170.0,177.9,140.9,118.9,119.3,1609.3
83923,Urussanga,SC,192.3,213.0,186.5,86.8,83.4,79.5,107.2,144.9,153.2,122.3,125.6,141.0,1635.8
83858,Xanxerê,SC,223.9,222.3,192.4,141.8,148.6,164.4,162.2,186.3,220.7,221.8,170.5,172.6,2227.4
83096,Aracaju,SE,77.9,85.1,175.7,261.2,333.8,207.2,174.7,113.9,91.4,65.8,52.3,56.3,1695.2
83195,Itabaianinha,SE,44.4,97.7,129.6,139.6,180.3,160.3,131.9,80.8,50.6,46.5,72.2,72.5,1206.4
83097,Propriá,SE,48.1,74.4,102.8,222.3,222.1,152.2,162.1,91.0,81.7,42.9,34.8,67.6,1301.8
83672,Araçatuba,SP,206.8,187.1,141.4,54.2,58.1,34.2,23.5,23.1,56.2,128.3,143.0,199.3,1255.2
83773,Avaré,SP,206.0,181.5,157.5,86.8,105.5,85.3,46.2,51.0,84.1,137.3,131.2,179.7,1451.9
83625,Barretos,SP,190.4,185.7,109.0,43.4,48.3,18.0,19.4,15.7,45.3,105.7,169.1,209.7,1159.6
83729,Campinas,SP,226.5,211.5,126.4,54.8,45.8,50.9,50.8,30.7,62.8,148.6,143.3,205.4,1357.6
83714,Campos do Jordão,SP,306.1,265.6,193.5,98.9,79.3,51.4,42.1,58.5,91.6,159.3,205.9,300.1,1852.5
83676,Catanduva,SP,228.9,219.1,171.9,64.8,58.5,22.1,27.7,25.7,55.5,122.7,130.8,234.2,1361.8
83626,Colina,SP,231.9,204.2,172.7,77.3,42.0,25.2,27.4,14.8,41.9,127.2,150.4,254.8,1369.8
83760,Coop. Agrícola de Cotia,SP,202.4,191.0,147.9,69.0,51.8,39.9,31.8,32.3,61.3,142.5,142.9,187.3,1300.1
83204,Fazenda Ipanema (Est. Desativada),SP,186.4,155.1,145.9,47.8,37.1,41.2,24.8,25.2,57.9,130.7,107.7,178.2,1138.0
83630,Franca,SP,295.9,225.0,190.4,87.4,50.6,25.3,26.5,24.9,74.7,168.5,193.7,279.9,1642.9
83821,Iguape,SP,243.4,206.5,262.7,183.1,143.5,127.1,104.8,94.4,121.3,145.8,150.8,193.0,1976.4
83774,Itapeva,SP,165.0,160.6,108.1,57.9,107.5,88.4,53.7,57.1,91.6,115.3,134.8,186.6,1326.6
83674,Lins,SP,202.7,212.7,149.2,47.9,62.8,34.3,34.8,27.3,54.8,155.0,133.1,223.7,1338.3
83772*,Mogi das Cruzes,SP,141.7,141.6,98.5,48.8,40.9,29.3,24.2,26.7,57.2,114.1,123.6,-,-
83847,Paraibuna,SP,185.4,175.4,136.0,47.4,36.5,30.6,20.5,35.5,46.3,109.7,98.8,180.3,1102.4
83716,Presidente Prudente,SP,218.2,160.2,133.2,65.9,75.0,57.5,45.2,41.8,84.2,148.4,137.0,194.1,1360.6
83670,Santa Rita,SP,276.2,238.5,173.0,75.3,41.9,41.5,33.0,36.6,70.0,168.6,189.2,289.3,1633.0
83782,Santos,SP,255.9,220.3,221.1,193.6,144.3,106.2,121.6,78.4,130.2,146.0,162.0,210.9,1990.6
83726,São Carlos,SP,270.6,200.5,187.2,71.9,66.3,39.0,35.7,34.7,65.5,136.1,163.9,276.9,1548.3
83809,São José dos Campos,SP,192.5,151.2,132.8,59.8,30.3,32.5,26.6,31.9,52.8,120.5,122.0,202.1,1155.0
83856,São Paulo - Horto Florestal,SP,245.6,243.8,159.2,76.0,59.7,58.7,53.1,39.9,76.2,162.7,195.7,220.6,1591.3
83781,São Paulo (Mir. de Santana),SP,237.4,221.5,160.5,72.6,71.4,50.1,43.9,39.6,70.7,126.9,145.8,200.7,1441.0
83669,São Simão,SP,256.8,217.6,164.0,80.1,52.1,29.2,30.2,30.3,62.0,126.7,178.0,262.3,1489.3
83667,Sertãozinho,SP,247.0,192.3,148.4,91.2,43.2,31.7,28.3,24.1,56.8,152.0,171.9,266.0,1452.8
83851,Sorocaba,SP,211.8,146.0,128.6,63.2,104.6,71.8,48.3,32.2,72.2,104.1,138.4,209.4,1330.4
83784,Taubaté,SP,233.5,192.1,173.5,67.1,40.9,29.3,31.1,41.7,64.0,132.8,146.2,244.6,1396.8
83857,Tremembé,SP,255.0,165.4,187.5,78.6,49.4,41.9,19.7,31.1,78.3,144.5,149.2,214.9,1415.5
83786,Ubatuba,SP,324.2,318.6,321.2,238.5,137.2,90.0,104.2,79.9,174.6,218.6,239.5,350.8,2597.3
83629,Usina Junqueira,SP,294.1,291.8,178.9,71.4,23.7,16.8,17.3,9.2,51.4,187.3,161.5,258.9,1562.3
83623,Votuporanga,SP,243.6,137.5,148.4,91.8,52.7,19.3,22.9,13.9,48.6,97.6,133.5,220.1,1229.9
83033,Palmas,TO,245.7,216.7,170.8,100.3,14.9,1.7,0.2,2.4,19.2,120.8,196.6,211.9,1301.2
83231,Paranã,TO,252.4,206.7,170.5,101.4,17.8,0.4,0.2,1.4,19.4,114.7,195.3,218.1,1298.2
82863,Pedro Afonso,TO,297.4,250.3,231.8,178.2,33.9,6.4,1.0,17.0,50.6,182.3,204.7,266.9,1720.5
83228,Peixe,TO,284.8,250.6,232.1,119.0,29.1,4.1,4.3,6.5,35.9,133.6,216.9,284.2,1601.0
83064,Porto Nacional,TO,252.5,270.5,259.2,146.5,39.6,4.4,4.9,5.7,47.5,173.3,207.7,249.4,1661.1
83235,Taguatinga,TO,306.0,243.4,229.7,132.9,18.2,4.4,2.0,2.8,27.5,131.9,220.0,296.2,1615.2
