//------------------------------------------------------------------------------
//
// Sistema de Informações Hidrológicas
// Versão Web 3.0
// © 2001 Agência Nacional de Águas (ANA)
//
// NivelConsistencia: 1 = Bruto, 2 = Consistido
// TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
// Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado
//
// Restrições da consulta:
//   Código da Estação: 3054002
//
//------------------------------------------------------------------------------

//EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status;
03054002;1;01/01/1936;1;43,4;108,8;27;6;1;1;0;1791;1;0;0;0;0;0;0;4,4;0;0;16;0;0;0;0;0;0;0;0;0;0;0;9,8;27,7;7,5;0;0;43,4;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
03054002;1;01/02/1936;1;7,9;23,9;15;4;1;1;0;1791;1;0;0;0;0;0;0;0;7;2,5;0;0;0;0;6,5;7,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
03054002;1;01/03/1936;1;26;107,6;17;6;1;1;0;1791;1;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;20,5;26;0;0;0;0;25,6;0;12;14,5;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
03054002;1;01/04/1936;1;62,3;161;30;13;1;1;0;1791;1;5,3;8,2;0;0;0;0;4,5;1;0;0;0,3;57;0;0;0;0;0;0;0;0;0;1,3;0;13,9;1;0;1;3,4;1,8;62,3;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
03054002;1;01/05/1936;1;66;410,7;12;16;1;1;0;1791;1;0;0;0;0;0;20,5;0;0;48,5;0,5;0;66;37,5;3,4;0;4,2;65;0;0;39,5;1,5;14,5;0;0;0;0,1;16;15,5;0;15;63;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
03054002;1;01/06/1936;1;63,5;218,3;7;13;1;1;0;1791;1;42;0;0;0;6;0;63,5;1,5;8;2,5;0;0;0;0;0;0;27;0;1;0;0;0;1;30,5;24;0;0;9,8;1,5;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
03054002;1;01/07/1936;1;61;89,7;24;6;1;1;0;1791;1;0;9;1,4;0;0;1;13,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61;4;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
03054002;1;01/08/1936;1;28;93,5;27;6;1;1;0;1791;1;0;17,5;10,5;0;0;0;0;0;0;0;0;0;0;0;2,5;0;0;0;0;17,5;0;0;0;0;0;0;28;17,5;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
03054002;1;01/09/1936;1;26,5;54,5;28;7;1;1;0;1791;1;0;0;0;1,4;3,6;0;0;0;0;0;0;0;0;0;0;0;0;2;0,5;0;0;14;0;0;0;0;0;26,5;6,5;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
03054002;1;01/10/1936;1;65,7;260;2;9;1;1;0;1791;1;57,3;65,7;61,9;0;0;4,4;12,9;0;3,3;0;0;0;0;0;0;0;0;0;0;39;0;0;0;0;0;0;0;0;15;0;0,5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
03054002;1;01/11/1936;1;49,9;86,6;18;5;1;1;0;1791;1;0;0;0;0;0;0;0;0;6;8,3;0;0;0;0;0;0;16,2;49,9;6,2;0;0;0;0;0;0;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
03054002;1;01/12/1936;1;65,4;176,4;30;6;1;1;0;1791;1;0;3,4;0;0;0;0;27,2;8,7;0;0;0;0;0;0;0;0;0;0;0;0;65;6,7;0;0;0;0;0;0;0;65,4;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
03054002;1;01/01/1937;1;1,5;2,5;21;2;1;1;0;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1,5;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
03054002;1;01/02/1937;1;63,5;292,2;17;11;1;1;0;;0;0;3,1;7,5;0;0;0;0;0;10,9;0;0;0;0;41,5;0;1;63,5;42;60,5;7,8;0;0;1;0;0;0;0;53,4;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
03054002;1;01/03/1937;1;24;84,2;16;7;1;1;0;;0;0;0;0;4,3;0;0;0;0;0;13;0;0;11,4;13;4,5;24;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
03054002;1;01/04/1937;1;5,3;7,8;28;2;1;1;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,3;0;2,5;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
03054002;1;01/05/1937;1;46,5;139,2;10;9;1;1;0;;0;0;0;0;0;0;0;0;0;0;46,5;26;26;26;2;0;2,5;0;0;0;0;0;0;0;0;0;1,5;1,2;0;0;0;7,5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
03054002;1;01/06/1937;1;36,5;111;29;5;1;1;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16,6;26;0;23,3;0;8,6;0;0;36,5;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
03054002;1;01/07/1937;1;66,5;182,6;10;8;1;1;0;;0;0;10,1;0;0;0;15,5;0;0;0;66,5;0;0;0;12,5;0;0;7,2;33,3;0;0;0;28;9,5;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
03054002;1;01/08/1937;1;39;175;8;11;1;1;0;;0;0;0;4,5;10,5;0;10;24;39;25;0;0;0;0;0;0;0;0;0;0;15;7,5;0;0;16,5;0;0;0;20,5;2,5;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
03054002;1;01/09/1937;1;41,8;114,4;17;9;1;1;0;;0;0;4,5;14,8;0;0;0;0;15,5;0;0;10;0;0;0;0;0;41,8;7,6;6,5;12,8;0;0;0,9;0;0;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
03054002;1;01/10/1937;1;35,5;93,2;8;3;1;1;0;;0;0;32,5;0;0;0;0;0;35,5;0;0;0;0;0;0;25,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
03054002;1;01/11/1937;1;36;99,9;9;7;1;1;0;;0;0;0;0;0;16,2;18;0;17,5;36;0;0;0;0;0;8,5;0;0,9;0;0;0;0;0;0;2,8;0;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
03054002;1;01/12/1937;1;6,5;11,5;7;3;1;1;0;;0;1,6;0;0;0;0;0;6,5;0;0;3,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
03054002;1;01/01/1938;1;63,9;296,8;11;11;1;1;0;1307,2;1;0;0;22,3;0;0;0;0;0;7;63;63,9;5,6;0;0;18;0;0;29;0;0;0;0;0;41,7;31,1;3,7;11,5;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
